,Artist,Title,emotion
632,Taylor Swift,Sunshine,joy
633,Eminem,1998 Wake Up Show Freestyle,joy
634,Justin Bieber,Got Me One*,joy
635,Justin Bieber,Intentions (Acoustic),joy
636,Justin Bieber,Can’t Wait,joy
637,Eminem,Take The World With Me,joy
638,Maroon 5,Little of Your Time (Bloodshy & Avant Remix),joy
639,Lady Gaga,Do What U Want (Steven Redant Madrid Club Remix),joy
640,Lady Gaga,Dancin' in Circles,joy
641,Justin Bieber,Infectious,joy
642,Lady Gaga,Replay,joy
643,Nicki Minaj,Fly (Super Clean Edit),joy
644,Lady Gaga,"Go, Go, Go (Demo)",joy
645,Taylor Swift,Shake It Off,joy
646,Justin Bieber,Up,joy
647,Eminem,Beautiful,joy
648,Lady Gaga,Boys Boys Boys (Manhattan Clique),joy
649,Nicki Minaj,Va Va Voom,joy
650,Maroon 5,Don’t Wanna Know (Fareoh Remix),joy
651,Lady Gaga,"Eh, Eh (Nothing Else I Can Say)",joy
652,Eminem,Step Right Up,joy
653,Nicki Minaj,It's My Party,joy
654,Justin Bieber,Beauty and a Beat,joy
655,Maroon 5,Sugar (Remix),joy
656,Post Malone,Magic,joy
657,Eminem,Drop It Like It’s Hot Freestyle,joy
658,Eminem,My Name Is,joy
659,Justin Bieber,Hotline Bling (Remix),joy
660,Eminem,Any Word Freestyle,joy
661,Eminem,XL Show Freestyle,joy
662,Lady Gaga,Rain On Me (Demo Solo),joy
663,Selena Gomez,Everything Is Not What It Seems (Wizards of Waverly Place Full Theme Song),joy
664,Eminem,My Fault (Pizza Mix),joy
665,Eminem,Shade 45 Freestyle,joy
666,Taylor Swift,American Girl,joy
667,Justin Bieber,Beauty And A Beat  (Wideboys Club Mix),joy
668,Eminem,Freestyle (Light Speed),joy
669,Lady Gaga,"Eh, Eh (Nothing Else I Can Say) (Pet Shop Boys Radio Mix)",joy
670,Lady Gaga,Starstruck,joy
671,Nicki Minaj,Pound the alarm - album version (edited),joy
672,Eminem,The Half-Time Show Freestyle,joy
673,Selena Gomez,Music Feels Better,joy
674,Post Malone,Feel (Demo),joy
675,Nicki Minaj,Wheel of Freestyle,joy
676,Post Malone,Easier,joy
677,Taylor Swift,Everything Has Changed,joy
678,Selena Gomez,Shake It Up,joy
679,Justin Bieber,Meet Me At The Club*,joy
680,Eminem,"1997 Freestyle Live at Wetlands, NYC",joy
681,Eminem,Rap City Freestyle,joy
682,Eminem,C’mon Everybody,joy
683,Lady Gaga,Dirty Ice Cream,joy
684,Justin Bieber,California Cruisin’,joy
685,Lady Gaga,So Happy I Could Die,joy
686,Nicki Minaj,Pound the Alarm (Jelfa mix),joy
687,Eminem,Starting To Look Like An M&M!,joy
688,Nicki Minaj,I Get Crazy,joy
689,Lady Gaga,Oh Baby (Demo),joy
690,Maroon 5,This Summer,joy
691,Justin Bieber,Rockin’ Around The Christmas Tree,joy
692,Lady Gaga,Just Dance (Trevor Simpson Edit),joy
693,Post Malone,SoFlo Like Antonio,joy
694,Justin Bieber,Turn Up,joy
695,Eminem,Rap City,joy
696,Justin Bieber,Somebody to Love (J-Stax Remix),joy
697,Maroon 5,Crazy Little Thing Called Love (Acoustic Version),joy
698,Maroon 5,Moves Like Jagger (Remix),joy
699,Eminem,PhatBeats Prank Call,joy
700,Selena Gomez,Bang A Drum,joy
701,Selena Gomez,Lover In Me,joy
702,Eminem,Freestyle (The Watcher),joy
703,Eminem,Rap City Freestyle (I’m a Big Deal),joy
704,Maroon 5,Don’t Wanna Know (Extended Version),joy
705,Taylor Swift,Live For The Little Things,joy
706,Maroon 5,Lucky Strike,joy
707,Justin Bieber,Santa Claus Is Coming to Town,joy
708,Lady Gaga,Lush Life,joy
709,Selena Gomez,Forget Forever,joy
710,Selena Gomez,Dance Again,joy
711,Nicki Minaj,Pound the Alarm (Kitz Looper mix),joy
712,Lady Gaga,White Christmas (Live),joy
713,Lady Gaga,Stupid Love,joy
714,Maroon 5,Don’t Wanna Know (Total Ape Remix),joy
715,Taylor Swift,Welcome Back Grunwald,joy
716,Selena Gomez,I Believe I Can Fly (Cover),joy
717,Lady Gaga,Do What U Want (Red Ant & Amp Lexvas Deep House Remix),joy
718,Maroon 5,Sugar,joy
719,Selena Gomez,Come & Get It (Fred Falke Club Remix),joy
720,Justin Bieber,What Do You Mean? [Angelika Vee Cover] - Justin Caruso Remix,joy
721,Lady Gaga,Musicland,joy
722,Eminem,My Salsa,joy
723,Taylor Swift,Starlight,joy
724,Lady Gaga,Do Me Right,joy
725,Eminem,8 Mile: Cheddar Bob Freestyle,joy
726,Justin Bieber,What Do You Mean (90's Remix),joy
727,Lady Gaga,Retro Physical,joy
728,Selena Gomez,Slow Down (Danny Verde Remix),joy
729,Maroon 5,Be Nice,joy
730,Nicki Minaj,Starships [Edited Version] [Edit] by Nicki Minaj,joy
731,Taylor Swift,Christmas Must Be Something More,joy
732,Taylor Swift,Christmas Tree Farm (Recorded Live at the 2019 iHeartRadio Jingle Ball),joy
733,Taylor Swift,ME! (Billboard Music Awards Live Rehearsal Audio),joy
734,Nicki Minaj,Mi Casa,joy
735,Maroon 5,Give a Little More,joy
736,Nicki Minaj,Super Bass,joy
737,Lady Gaga,Disco Heaven,joy
738,Maroon 5,Little of Your Time,joy
739,Justin Bieber,Happy New Year,joy
740,Nicki Minaj,Lollipop (Remix),joy
741,Lady Gaga,Applause,joy
742,Justin Bieber,Fa La La,joy
743,Justin Bieber,Somebody to Love,joy
744,Post Malone,Congratulations,joy
745,Nicki Minaj,Barbie Girl,joy
746,Eminem,Berzerk Explained,joy
747,Nicki Minaj,Sunshine (2007),joy
748,Ariana Grande,My Everything,power
749,Lady Gaga,Tokyo,power
750,Eminem,Rap Game (Bump Heads),power
751,Taylor Swift,...Ready for It? (BloodPop® Remix),power
752,Lady Gaga,I Like It Rough,power
753,Eminem,Jimmy Crack Corn,power
754,Ariana Grande,"Thank u, next (Jennifer Coolidge and Ariana Grande conversation)",power
755,Nicki Minaj,Gettin Cake,power
756,Ariana Grande,Why Try,power
757,Taylor Swift,Getaway Car,power
758,Eminem,Hell Breaks Loose,power
759,Selena Gomez,Same Old Love,power
760,Taylor Swift,R.E.V.E.N.G.E.,power
761,Justin Bieber,Break It Down,power
762,Eminem,Godzilla,power
763,Taylor Swift,Don't Blame Me,power
764,Lady Gaga,Fashion!,power
765,Maroon 5,Wake Up Call (David Banner Remix),power
766,Ariana Grande,Be Alright (Demo),power
767,Lady Gaga,Out of Control,power
768,"League of Legends, Against The Current",Legends Never Die,power
769,Nicki Minaj,Naked,power
770,Avicii,Hey Brother,power
771,Eminem,Berzerk,power
772,Taylor Swift,Only The Young,power
773,Lady Gaga,The Fame (Glam As You Remix) [Radio Edit Version],power
774,Taylor Swift,Look What You Made Me Do,power
775,BeyoncÃ©,Check on It (Homecoming Live),power
776,Lady Gaga,Sinner's Prayer,power
777,Eminem,Cinderella Man,power
778,"League of Legends, PVRIS",Burn It All Down,power
779,Lady Gaga,The Fierce Mama-Gaga,power
780,Selena Gomez,Cruella De Vil,power
781,Cardi B,Sick 16 (Freestyle),power
782,Selena Gomez,Good For You (Nebbra Remix),power
783,Taylor Swift,Cruel Summer,power
784,Lady Gaga,LoveGame,power
785,Lady Gaga,Marry the Night,power
786,Billie Eilish,​ocean eyes (Cautious Clay Remix),power
787,Eminem,Discombobulated,power
788,Maroon 5,Memories (Dillon Francis Remix),power
789,Nicki Minaj,Warning - 97663,power
790,Taylor Swift,1989 World Tour Dates,power
791,Nicki Minaj,Good Form,power
792,Billie Eilish,Six Feet Under (Aire Atlantica Remix),power
793,Eminem,3 Verses,power
794,Nicki Minaj,Chun-Li,power
795,Nicki Minaj,Roman's Revenge 2.0,power
796,Eminem,Slim Shady,power
797,Taylor Swift,Long Time Coming,power
798,"David Guetta, Sia",Titanium (feat. Sia),power
799,Lady Gaga,Bad Romance (Skrillex Remix),power
800,Billie Eilish,NOT MY RESPONSIBILITY,power
801,Cardi B,Lick (Remix),power
802,Lady Gaga,The Fame,power
803,Eminem,Crack A Bottle (Shady Remix),power
804,BeyoncÃ©,Top Off (Homecoming Live),power
805,Eminem,Drop the Bomb on ’Em,power
806,Eminem,Rhyme or Reason,power
807,Nicki Minaj,Want Some More (Remix),power
808,Maroon 5,Best 4 U,power
809,Sia,Unstoppable,power
810,Lady Gaga,Bad Romance (Grum Remix),power
811,Justin Bieber,Ride,power
812,Eminem,Hate Me Now Freestyle,power
813,Selena Gomez,Do It,power
814,Nicki Minaj,Roman's Revenge (Busta Rhymes Remix),power
815,Post Malone,Thatâ It,power
816,Sam Tinnesz,Legends Are Made,power
817,Nicki Minaj,I'm Legit,power
818,Taylor Swift,"Sugar, We're Going Down",power
819,Eminem,Verse 3,power
820,Ariana Grande,Be Alright [Justin Bieber Cover],power
821,Lady Gaga,The Edge of Glory - Foster The People Remix,power
822,BeyoncÃ©,Single Ladies (Put a Ring on It) [Live],power
823,Justin Bieber,Running Over (Original Version),power
824,Lady Gaga,Bad Romance (DJ Dan Remix),power
825,Ariana Grande,Santa Tell Me,power
826,Eminem,WJLB 1998 Promo,power
827,Ariana Grande,​started*,power
828,"Flo Rida, Sage The Gemini, Lookas",GDFR (feat. Sage the Gemini & Lookas),power
829,Eminem,The Equalizer : Soundtrack,power
830,Lady Gaga,Heal Me,power
831,Eminem,Evil Twin,power
832,Lady Gaga,Hair,power
833,Nicki Minaj,Barbie Dreams,power
834,Eminem,G.O.A.T.,power
835,BeyoncÃ©,New Shoes,power
836,Eminem,"Murder, Murder",power
837,Taylor Swift,Better Than Revenge (Live/2011),power
838,Lady Gaga,Trigger (Demo),power
839,Nicki Minaj,Gettin' Paid,power
840,Nicki Minaj,Tempo,power
841,Eminem,Gnat,power
842,BeyoncÃ©,Halo (Hope for Haiti Now),power
843,Post Malone,Ball For Me,power
844,Post Malone,Playboy Bunny,power
845,Cardi B,The Good (Unreleased),power
846,Taylor Swift,Red (Original Demo Recording),power
847,Lady Gaga,Retrosexual,power
848,Nicki Minaj,Put You in a Room,power
849,Eminem,Quitter (Everlast Diss),power
850,Eminem,Remember Me?,power
851,Maroon 5,Better That We Break (Ali Shaheed Muhammad & Doc Remix),power
852,Maroon 5,Ladykiller,power
853,BeyoncÃ©,Ring the Alarm,power
854,Lady Gaga,Artpop (artRAVE paris version),power
855,Eminem,Just Don’t Give a Fuck,power
856,Cardi B,Drip,power
857,Ariana Grande,​raindrops (an angel cried) [live],power
858,BeyoncÃ©,Lift Every Voice and Sing (Homecoming Live),power
859,Post Malone,Fuck The Internet,power
860,Maroon 5,Animals (Sammy Bananas Remix),power
861,Nicki Minaj,I Endorse These Strippers,power
862,Eminem,Nail in the Coffin,power
863,Eminem,Rabbit Run,power
864,Nicki Minaj,Miami,power
865,Lady Gaga,Diamond Heart,power
866,Justin Bieber,Runaway Love,power
867,Lady Gaga,The Edge of Glory (Live),power
868,Eminem,8 Mile: Maurice Grant vs B-Rabbit,power
869,Ariana Grande,​love me harder (live),power
870,Nicki Minaj,Jumpoff / Jump-off,power
871,Post Malone,Killing in the Name,power
872,Nicki Minaj,I'm Back,power
873,Eminem,Just Don’t Give a Fuck (A Cappella),power
874,Justin Bieber,Purpose,power
875,Cardi B,Trust Issues,power
876,Eminem,Ridaz,power
877,Nicki Minaj,BE GONE BITCH,power
878,Eminem,Lucky You,power
879,Taylor Swift,I Did Something Bad (Reputation Tour Remix),power
880,BeyoncÃ©,FREEDOM (2016 BET Awards),power
881,Eminem,I Will,power
882,Eminem,Role Model,power
883,Eminem,Keys To The City,power
884,Ariana Grande,Right There (Ralphi Rosario Radio),power
885,Selena Gomez,Kill Em with Kindness (Felix Cartal Remix),power
886,BeyoncÃ©,Dreamgirls,power
887,Cardi B,Trick,power
888,Ariana Grande,Side to Side (Slushii Remix),power
889,BeyoncÃ©,Whatâs It Gonna Be,power
890,Camila Cabello,Million To One,power
891,Nicki Minaj,Black Barbies,power
892,Eminem,Kings Never Die,power
893,Nicki Minaj,Chun Swae,power
894,Nicki Minaj,"Bossed Up, Pickle Juice",power
895,Nicki Minaj,I'm Cumin,power
896,Imagine Dragons,Demons,power
897,Maroon 5,Harder to Breathe,power
898,Ariana Grande,Love Me Harder (DJ Class Remix),power
899,Maroon 5,The Man Who Never Lied,power
900,Eminem,Not Afraid,power
901,Justin Bieber,Vatican,power
902,Lady Gaga,MANiCURE (Swinefest Demo),power
903,Nicki Minaj,Barbie Goin Bad,power
904,Justin Bieber,Going Down,power
905,Taylor Swift,I Know Places (Voice Memo),power
906,BeyoncÃ©,Apathy,power
907,Taylor Swift,Style,power
908,Eminem,Still Number One,power
909,The Chainsmokers,Paris,power
910,Lady Gaga,Shut Up (Demo),power
911,Billie Eilish,​all the good girls go to hell (Live at Third Man Records),power
912,Nicki Minaj,Baddest Bitch,power
913,Lady Gaga,Do What U Want (Solo Version),power
914,Selena Gomez,Good for You (Single Version),power
915,Ariana Grande,​west side,power
916,Maroon 5,Cold (Remix),power
917,Eminem,Killshot,power
918,BeyoncÃ©,Gift from Virgo,power
919,Ariana Grande,​on top of everything*,power
920,Justin Bieber,Humble (Remix),power
921,Nicki Minaj,Playtime Is Over,power
922,Nicki Minaj,Yikes,power
923,BeyoncÃ©,Flaws and All (BeyoncÃ© Experience Live),power
924,Taylor Swift,Wildest Dreams (R3hab Remix),power
925,Eminem,Rain Man,power
926,Lady Gaga,The Edge of Glory (Porter Robinson Remix),power
927,Taylor Swift,End Game (Solo Version),power
928,Maroon 5,Hands All Over,power
929,BeyoncÃ©,World Wide Woman,power
930,Eminem,Breaking News (Intro),power
931,"Neoni, burnboy",Champion,power
932,Lady Gaga,Do What U Want (DJWS Remix),power
933,Maroon 5,Doin’ Dirt,power
934,Justin Bieber,Confirmation,power
935,BeyoncÃ©,"Baby, Youâre The Only Man",power
936,Ariana Grande,7 rings,power
937,Selena Gomez,Fetish (Galantis Remix),power
938,Eminem,Who Knew,power
939,Lady Gaga,Born This Way (Michael Woods Remix),power
940,Avicii,The Nights,power
941,Nicki Minaj,Sticks In My Bun,power
942,BeyoncÃ©,Irreplaceable (Trina Remix),power
943,Lady Gaga,The Edge of Glory (Funkagenda Remix),power
944,Nicki Minaj,Biggest Freak,power
945,Lady Gaga,Black Jesus + Amen Fashion,power
946,Lady Gaga,Government Hooker,power
947,Lady Gaga,Do What U Want (Kronic Remix),power
948,Taylor Swift,End Game,power
949,Maroon 5,Cold (Sak Noel Remix),power
950,Ariana Grande,Daydreamin’,power
951,Nicki Minaj,Swish Swish (Rap Version),power
952,Eminem,We As Americans,power
953,Lady Gaga,Electric Chapel - Two Door Cinema Club Remix,power
954,Post Malone,Take What You Want,power
955,Ariana Grande,Problem (Spanglish Version),power
956,Nicki Minaj,Hood Story,power
957,Nicki Minaj,SaInT RoMaN,power
958,Ariana Grande,Knew Better / Forever Boy [DWT Version],power
959,Lady Gaga,Greatest,power
960,Lady Gaga,Glamour Zombie,power
961,Eminem,Detroit vs. Everybody,power
962,Selena Gomez,Come & Get It,power
963,Eminem,Wanksta (Eminem’s Version),power
964,Selena Gomez,Kill Em with Kindness (Young Bombs Remix),power
965,Eminem,ShadyXV,power
966,Naomi Scott,Speechless (Full),power
967,Justin Bieber,Somebody to Love (Remix),power
968,Lady Gaga,You and I / born this way (artRAVE paris version),power
969,Lady Gaga,Burqa,power
970,"Eminem, Nate Dogg",Till I Collapse,power
971,Selena Gomez,Look At Her Now,power
972,Taylor Swift,State of Grace,power
973,Lady Gaga,Bad Romance - The Cure ( ACT VI),power
974,Nicki Minaj,Roman Reloaded,power
975,Nicki Minaj,Wamables,power
976,Lady Gaga,Black Jesus + Amen Fashion - Michael Woods Remix,power
977,Taylor Swift,A Monster In My Closet!,power
978,Post Malone,Psycho,power
979,Nicki Minaj,Saxon,power
980,Ariana Grande,Greedy,power
981,Taylor Swift,Wonderland,power
982,Justin Bieber,Fearless,power
983,Nicki Minaj,Get It All,power
984,Taylor Swift,We Are Never Ever Getting Back Together,power
985,Eminem,Right for Me,power
986,Nicki Minaj,I Get Money (Remix),power
987,Eminem,Ballin’ Uncontrollably,power
988,Maroon 5,Figure It Out,power
989,Lady Gaga,Paper Gangsta,power
990,Post Malone,God Damn,power
991,Eminem,The Sauce,power
992,Nicki Minaj,Ain't Gone Do It,power
993,"B.o.B, Hayley Williams",Airplanes (feat. Hayley Williams of Paramore),power
994,Post Malone,Hit This Hard,power
995,Maroon 5,Animals (Remix),power
996,Billie Eilish,Ocean Eyes (That Loud & Neblo Remix),power
997,Zoe Wees,Control,power
998,Eminem,Marsh,power
999,Taylor Swift,The Man,power
1000,Lady Gaga,"Beautiful, Dirty, Rich",power
1001,Ariana Grande,​my hair,power
1002,Nicki Minaj,Lookin Ass (Lookin Ass Nigga),power
1003,Sabrina Carpenter,Blueberries,power
1004,Selena Gomez,Outta My Hands (Loco),power
1005,Ariana Grande,Put Your Hearts Up,power
1006,Selena Gomez,Pose,power
1007,Cardi B,Sauce Boyz,power
1008,Maroon 5,Cold (VAR!N Remix),power
1009,Warriyo,Mortals,power
1010,Maroon 5,Runaway,power
1011,Ariana Grande,Moonlight,power
1012,Taylor Swift,Picture to Burn (Live From SoHo),power
1013,Nicki Minaj,Talking that  stuff,power
1014,Nicki Minaj,Blow Ya Mind,power
1015,Eminem,Rap Battle (1994),power
1016,Ariana Grande,One last time_Ariana_Grande_(2014),power
1017,Eminem,Slim Shady (Intro),power
1018,Lady Gaga,Sexy Ugly,power
1019,Selena Gomez,Forget Forever (STÂ£FAN Remix),power
1020,Billie Eilish,Eres Tú,power
1021,Lady Gaga,The Manifesto of Mother Monster,power
1022,Avicii,Wake Me Up,power
1023,Nicki Minaj,Regular Degular,power
1024,Taylor Swift,Let's Go (Battle),power
1025,Nicki Minaj,Still I Rise,power
1026,BeyoncÃ©,Ave Maria,power
1027,Nicki Minaj,Queen Radio - The Cardi B Drag,power
1028,Eminem,Eminem - Get You Mad (Türkçe Çeviri),power
1029,Nicki Minaj,Encore '07,power
1030,Nicki Minaj,1-900-Ms-Minaj,power
1031,Selena Gomez,Kill Em With Kindness,power
1032,BeyoncÃ©,Grown Woman,power
1033,Eminem,Still Don’t Give a Fuck,power
1034,Lady Gaga,Marry the Night - The Weeknd & Illangelo Remix,power
1035,Ariana Grande,Zero to Hero (From ”Hercules”),power
1036,Taylor Swift,Bad Blood,power
1037,Nicki Minaj,Anaconda,power
1038,Nicki Minaj,The Pinkprint Freestyle,power
1039,Cardi B,Automatic*,power
1040,Eminem,Yah Yah,power
1041,Eminem,Higher,power
1042,Maroon 5,Secret (Premier 5 Remix),power
1043,Eminem,W.T.P.,power
1044,Lady Gaga,Bad romance / Applause / Swine / Gyspy (artRAVE paris version),power
1045,Cardi B,Thru Your Phone (Clean),power
1046,Taylor Swift,Macavity,power
1047,Lady Gaga,Cake Like Lady Gaga,power
1048,Eminem,Rap God (Lyrics on Genius),power
1049,Lady Gaga,Free Woman,power
1050,Eminem,Alfred’s Theme,power
1051,Eminem,2.0 Boys,power
1052,BeyoncÃ©,Black Parade (Remix),power
1053,Selena Gomez,Fetish,power
1054,Nicki Minaj,Roman In Moscow,power
1055,Taylor Swift,Blank Space,power
1056,Nicki Minaj,Massive Attack,power
1057,Lady Gaga,Judas - Hurts Remix,power
1058,Lady Gaga,Fashion (2009),power
1059,Ariana Grande,Open Letter Critiquing Sexism,power
1060,Nicki Minaj,Win Again,power
1061,Taylor Swift,Bette Davis Eyes (Live/2011),power
1062,"Martin Garrix, Bonn",No Sleep (feat. Bonn),power
1063,Eminem,Greatest,power
1064,Eminem,Mosh,power
1065,Taylor Swift,Should've Said No (Live from SoHo),power
1066,Lady Gaga,Bad Romance,power
1067,Selena Gomez,Good For You (Kasbo Remix),power
1068,Post Malone,Ric Flair,power
1069,Eminem,Square Dance,power
1070,Maroon 5,If I Never See Your Face Again (Paul Oakenfold Remix),power
1071,Ariana Grande,​fake smile,power
1072,Lady Gaga,Paparazzi / Do What U Want / Dope  (artRAVE paris version),power
1073,vaultboy,everything sucks,power
1074,Nicki Minaj,Firm Biz '08,power
1075,Billie Eilish,​i love you (Live at Third Man Records),power
1076,Lady Gaga,ARTPOP,power
1077,Lady Gaga,Bad Kids,power
1078,Nicki Minaj,I'm The Best,power
1079,BeyoncÃ©,Formation,power
1080,Eminem,Shady Narcotics,power
1081,Maroon 5,If I Never See Your Face Again (Remix),power
1082,Cardi B,Broke,power
1083,Nicki Minaj,Hit It,power
1084,Eminem,"Monkey See, Monkey Do",power
1085,Lady Gaga,MANiCURE (Demo),power
1086,Lady Gaga,Yay Ha (Demo),power
1087,Billie Eilish,​ilomilo,power
1088,Eminem,"Business - Live At The Palace of Auburn Hills, Detroit / 2002",power
1089,Billie Eilish,Shady*,power
1090,Taylor Swift,Matches,power
1091,Ariana Grande,Wit It This Christmas,power
1092,BeyoncÃ©,Standing on the Sun Remix,power
1093,Nicki Minaj,Come on a Cone,power
1094,Post Malone,Fuck Yeah Dude*,power
1095,Post Malone,Squad,power
1096,Nicki Minaj,Make a Baby,power
1097,NEFFEX,Destiny,power
1098,Lady Gaga,Manicure + Cake Like Lady Gaga (artRAVE paris version),power
1099,Lady Gaga,Jewels N' Drugs,power
1100,Lady Gaga,HOODIE,power
1101,Ariana Grande,One Last Time,power
1102,Lady Gaga,Applause (Demo),power
1103,Lady Gaga,Freakshow,power
1104,BeyoncÃ©,Donât Hurt Yourself (Poetry),power
1105,Maroon 5,Through With You (Demo),power
1106,"Lost Sky, Chris Linton",Fearless Pt. II,power
1107,BeyoncÃ©,Broken-Hearted Girl (Catalyst Remix),power
1108,Eminem,No Apologies,power
1109,Maroon 5,Through with You,power
1110,The Score,Can You Hear Me Now,power
1111,Post Malone,rockstar (Original Version),power
1112,Maroon 5,Kiwi,power
1113,BeyoncÃ©,The Last Great Seduction,power
1114,Lady Gaga,Fever (Demo),power
1115,Nicki Minaj,Hard White,power
1116,Lady Gaga,The Fame (Demo),power
1117,Cardi B,Cardi B’s Tattoos,power
1118,Eminem,I’m Back/Kill You/Under the Influence (Live in California),power
1119,Billie Eilish,​come out and play (Live at Third Man Records),power
1120,Nicki Minaj,New Body - Verse,power
1121,Eminem,You Don’t Know,power
1122,Eminem,Hazardous Youth,sorrow
1123,Ariana Grande,​safety net,sorrow
1124,Eminem,Mystical Diss,sorrow
1125,Eminem,Billie Eilish,sorrow
1126,Eminem,Evil Deeds,sorrow
1127,Post Malone,Don't Make Me,sorrow
1128,Post Malone,Feeling Whitney,sorrow
1129,Ariana Grande,Just a Little Bit of Your Heart,sorrow
1130,Nicki Minaj,L'Ultimo Bicchiere,sorrow
1131,Lady Gaga,1000 Doves (Piano Demo),sorrow
1132,Taylor Swift,Out of the Woods,sorrow
1133,BeyoncÃ©,Donât Hurt Yourself,sorrow
1134,Justin Bieber,Fall,sorrow
1135,Post Malone,Blame It On Me,sorrow
1136,Maroon 5,Not Falling Apart,sorrow
1137,Maroon 5,Whiskey,sorrow
1138,Taylor Swift,Tim McGraw (Demo),sorrow
1139,Taylor Swift,The Last Time,sorrow
1140,Nicki Minaj,Tay- Fire Burns,sorrow
1141,Selena Gomez,Sad Serenade,sorrow
1142,Olivia Rodrigo,drivers license,sorrow
1143,Seafret,Atlantis,sorrow
1144,Justin Bieber,Heartache,sorrow
1145,Justin Bieber,That Should Be Me,sorrow
1146,Eminem,Kill My Pain (Mixup),sorrow
1147,Lady Gaga,Let Love Down,sorrow
1148,Taylor Swift,Invisible,sorrow
1149,Justin Bieber,Insecurities,sorrow
1150,Ariana Grande,The Christmas Song (Chestnuts Roasting On An Open Fire),sorrow
1151,Taylor Swift,Teardrops On My Guitar (Acoustic),sorrow
1152,Post Malone,Lounge Act,sorrow
1153,Maroon 5,Out of Goodbyes,sorrow
1154,Post Malone,Cold,sorrow
1155,Selena Gomez,Loveâs Not Over,sorrow
1156,Taylor Swift,Beautiful Ghosts,sorrow
1157,Post Malone,No Reason (Version 1),sorrow
1158,Eminem,Space Bound,sorrow
1159,Eminem,Never Love Again,sorrow
1160,Nicki Minaj,Grand Piano,sorrow
1161,Taylor Swift,Didn't They,sorrow
1162,Nicki Minaj,Miss Me*,sorrow
1163,Taylor Swift,Innocent,sorrow
1164,Lady Gaga,Love Sick Girl (Demo),sorrow
1165,Maroon 5,Just a Feeling,sorrow
1166,Post Malone,Hollywood Dreams / Come Down,sorrow
1167,Cardi B,WAP (Clean),sorrow
1168,Gracie Abrams,"I miss you, I’m sorry",sorrow
1169,Lady Gaga,Oh Well,sorrow
1170,Eminem,Say Goodbye Hollywood,sorrow
1171,Justin Bieber,Alone,sorrow
1172,Eminem,Stronger Than I Was,sorrow
1173,Selena Gomez,Lose You To Love Me (Demo Version),sorrow
1174,Ariana Grande,​successful,sorrow
1175,Ariana Grande,Touch It,sorrow
1176,Ariana Grande,​dangerous woman (live),sorrow
1177,Eminem,The Kids,sorrow
1178,Taylor Swift,"Baby, Don't You Break My Heart Slow",sorrow
1179,Post Malone,I Know,sorrow
1180,Justin Bieber,Maria,sorrow
1181,Ariana Grande,Ariana Grande - pov (terjemahan bahasa indonesia),sorrow
1182,Taylor Swift,seven (the long pond studio sessions),sorrow
1183,Dean Lewis,How Do I Say Goodbye,sorrow
1184,Nicki Minaj,Dreams '07,sorrow
1185,Nicki Minaj,Marilyn Monroe,sorrow
1186,Taylor Swift,Brought Up That Way,sorrow
1187,Eminem,Stimulate,sorrow
1188,Taylor Swift,Girl at Home,sorrow
1189,Selena Gomez,Someone Else,sorrow
1190,Taylor Swift,ivy,sorrow
1191,Taylor Swift,Mean,sorrow
1192,Nicki Minaj,How To Break A Heart,sorrow
1193,Justin Bieber,Mama’s Boy,sorrow
1194,Selena Gomez,Unfamiliar (Demo),sorrow
1195,Maroon 5,Beautiful Goodbye,sorrow
1196,Nicki Minaj,Letter to Lil Wayne,sorrow
1197,BeyoncÃ©,Si Yo Fuera un Chico,sorrow
1198,Sam Tompkins,Lose It All,sorrow
1199,Nicki Minaj,Up in Flames,sorrow
1200,Taylor Swift,epiphany,sorrow
1201,Eminem,Kim,sorrow
1202,Billie Eilish,Bury a friend (Zeds Dead Remix),sorrow
1203,Maroon 5,Misery (Bimbo Jones radio edit),sorrow
1204,Ariana Grande,Shhh,sorrow
1205,Eminem,Yellow Brick Road,sorrow
1206,Eminem,Drips,sorrow
1207,Ariana Grande,Problem,sorrow
1208,Ariana Grande,​get well soon,sorrow
1209,Nicki Minaj,Dear Old Nicki,sorrow
1210,Lauren Spencer Smith,Flowers,sorrow
1211,Maroon 5,I Can’t Lie,sorrow
1212,Taylor Swift,Never Fade,sorrow
1213,BeyoncÃ©,Kick Him Out (Next Ex),sorrow
1214,Taylor Swift,epiphany (the long pond studio sessions),sorrow
1215,Eminem,In Too Deep,sorrow
1216,Lady Gaga,Bloody Mary - Dancin In Circle - Paparazzi - Angel Down - Joanne (ACT V),sorrow
1217,Eminem,I Remember (Dedication to Whitey Ford/Everlast Diss),sorrow
1218,James Arthur,Train Wreck,sorrow
1219,Post Malone,Patient,sorrow
1220,Lady Gaga,Million Reasons (KVR Remix),sorrow
1221,Lady Gaga,New York (Demo),sorrow
1222,Maroon 5,Payphone (No Rap Edit),sorrow
1223,Ariana Grande,Boyfriend Material,sorrow
1224,Lady Gaga,Before I Cry,sorrow
1225,Maroon 5,Must Get Out,sorrow
1226,Lady Gaga,November,sorrow
1227,Eminem,Everything,sorrow
1228,Eminem,Marshall Mathers (Snippet),sorrow
1229,Nicki Minaj,The Crying Game,sorrow
1230,Ariana Grande,Lovin’ It,sorrow
1231,Ariana Grande,Unreleased Songs [Discography List],sorrow
1232,BeyoncÃ©,Creole,sorrow
1233,Justin Bieber,Break From Love,sorrow
1234,Ariana Grande,​the light is coming,sorrow
