,Artist,Title,emotion
159,Justin Bieber,Roller Coaster,calm
160,Justin Bieber,Pray,calm
161,Justin Bieber,Christmas Eve,calm
162,Justin Bieber,It’s All Gonna Be Okay,calm
163,Justin Bieber,Yellow Raincoat,calm
164,Justin Bieber,Oxygen,calm
165,Justin Bieber,Angels Speak Like This,calm
166,Justin Bieber,The Intro,calm
167,Justin Bieber,Long Way Home,calm
168,Justin Bieber,Bigger,calm
169,Justin Bieber,Christmas Love,calm
170,Justin Bieber,The Christmas Song (Chestnuts Roasting on An Open Fire),calm
171,Justin Bieber,Instagram of Batman Vs. Superman Script,calm
172,Justin Bieber,Celebrities Counting Down To “What Do You Mean?”,calm
173,Justin Bieber,Patient,calm
174,Justin Bieber,Just Like Them,calm
175,Justin Bieber,Be Alright (Acoustic),calm
176,Justin Bieber,Justin Bieber’s Tattoos,calm
177,Justin Bieber,Beauty and a Beat (Acoustic),calm
178,Justin Bieber,Look At The Stars,calm
179,Justin Bieber,Silent Night,calm
180,Justin Bieber,Blend,calm
181,Justin Bieber,Home This Christmas,calm
182,Justin Bieber,Turn to You (Mother’s Day Dedication),calm
183,Justin Bieber,Someday At Christmas,calm
184,Justin Bieber,All Around the World (Acoustic),calm
185,Justin Bieber,Blowin’ In The Wind*,calm
186,Justin Bieber,Wash Away,calm
187,Justin Bieber,Never Say Never (Acoustic),calm
188,Justin Bieber,What Do You Mean? (Acoustic),calm
189,Justin Bieber,Down to Earth (Acoustic),calm
190,Justin Bieber,Antidepressant,calm
191,Justin Bieber,Trust Me,calm
192,Justin Bieber,U Smile (Acoustic),calm
193,Justin Bieber,For Sure,calm
194,Justin Bieber,Let It Be (Cover),calm
195,Justin Bieber,Set A Place At Your Table,calm
196,Lady Gaga,Just Another Day,calm
197,Lady Gaga,Red and Blue,calm
198,Lady Gaga,Living on the Radio,calm
199,Lady Gaga,Sire,calm
200,Lady Gaga,Ribbons,calm
201,Lady Gaga,Changing Skies,calm
202,Lady Gaga,Deep Blue,calm
203,Lady Gaga,Gaze,calm
204,Lady Gaga,Imagine,calm
205,Lady Gaga,Reel Cool,calm
206,Lady Gaga,Feels So Good*,calm
207,Lady Gaga,Chances*,calm
